"date","url","title","author","backlink","type","subject","internal","others"
"5/1/2018","https://www.investopedia.com/news/decred-cryptocurrency-combines-pow-pos/","Decred: A Cryptocurrency That Combines PoW, PoS","Rakesh Sharma","No",,,,
"5/1/2018","http://www.techcentral.ie/blockchain-based-cryptocurrency-governance-may-soon-change/","Blockchain-based cryptocurrency governance may soon change","IDG News Service","Yes",,,,
"5/3/2018","https://thecurrencyanalytics.com/905/cryptocurrency-decred-combines-pow-and-pos/","Cryptocurrency Decred Combines PoW and PoS","Dan Saada","No",,,,
"5/12/2018","https://www.placeholder.vc/blog/2018/5/12/decred-investment-thesis","Decred Investment Thesis",,"Yes",,,,
"5/13/2018","https://www.fxstreet.com/cryptocurrencies/news/decred-vs-bitcoin-growth-perspective-201805131246","Decred VS Bitcoin growth perspective","Viktor Karapetjanc","No",,,,
"5/15/2018","https://cryptovest.com/news/decred-dcr-price-booms-on-consensus-2018-publicity/","Decred (DCR) Price Booms on Consensus 2018 Publicity","Christine Masters","No",,,,
"5/16/2018","http://technewsleader.com/2018/05/17/augur-rep-decred-dcr-taking-bullish-run/","Augur (REP) & Decred (DCR) Taking Bullish Run","Kloy P.R.","No",,,,
"5/22/2018","https://cryptovest.com/news/sole-survivor-decred-dcr-unaffected-in-latest-market-downturn/","Sole Survivor: Decred (DCR) Unaffected in Latest Market Downturn","Christine Masters","No",,,,
"5/30/2018","https://bitcoinexchangeguide.com/weiss-ratings-may-monthly-crypto-coin-token-rankings-guide/","Weiss Ratings May Monthly Crypto Coin & Token Rankings","Bitcoin Exchange Team","No",,,,
"5/30/2018","https://btcmanager.com/hardware-companies-are-launching-dedicated-asic-miners-for-decred/","Hardware Companies Are Launching Dedicated ASIC Miners for Decred","Rahul Nambiampurath","Yes",,,,
"6/5/2018","https://hadeplatform.com/articles/2018/06/05/how-weiss-ratings-can-help-cryptocurrency-rankings","How Weiss Ratings Can Help Cryptocurrency Rankings","Victoria Raphael","No",,,,
"6/5/2018","https://www.icoexaminer.com/ico-news/decred-seeking-to-create-binance-and-etherdelta-hybrid-as-new-exchange-model/","Decred Seeking to Create Binance and EtherDelta Hybrid as New Exchange Model","Malachy Caldwell","Yes",,,,
"6/5/2018","https://www.prweb.com/releases/2018/06/prweb15537837.htm","Decred Releases Proposal for Decentralized Exchange ('DEX') with Eye toward Disrupting Billion-Dollar Exchange Market","Jake Yocom-Piatt","Yes",,,,
"6/8/2018","https://cryptodisrupt.com/decred-proposes-a-new-kind-of-exchange/","Decred Proposes a New Kind of Exchange","Kai Morris","Yes",,,,
"6/8/2018","https://cryptodaily.co.uk/2018/06/decred-flies-up-with-new-announcement/","Decred Flies Up With New Announcement","Robert Johnson","Yes",,,,
"6/9/2018","https://captainaltcoin.com/decred-dcr-the-sleeper-hit-of-2018-and-a-long-term-hold-for-the-patient-investors/","Decred (DCR) - The sleeper hit of 2018 and a long-term hold for the patient investors","Felix Küster","Yes",,,,
"6/9/2018","https://www.newsbtc.com/2018/06/09/asian-cryptocurrency-trading-update-decred-creeps-sideways-market/","Asian Cryptocurrency Trading Update: Decred Creeps Up in Sideways Market","Martin Young","Yes",,,,
"10/16/2018","https://www.coindesk.com/decred-is-turning-its-entire-21-million-crypto-treasury-over-to-investors/","Decred Is Turning Its Entire $21 Million Crypto Treasury Over to Investors","Brady Dale","Yes","article","politeia",,
"10/16/2018","https://www.cryptoglobe.com/latest/2018/10/decreds-new-governance-system-allows-users-to-control-20m-treasury/www.cryptoglobe.com/latest/2018/10/decreds-new-governance-system-allows-users-to-control-20m-treasury/","Decred's New Governance System Allows Users to Control $20M Treasury",,,"article","politeia",,
"10/16/2018","https://dailyhodl.com/2018/10/16/decentralized-decision-making-platform-puts-investors-in-charge-of-treasury-worth-20-million/","Decentralized Decision-Making Platform Puts Investors in Charge of Treasury Worth $20 Million",,,"article","politeia",,
,"https://www.unlock-bc.com/news/2018-10-18/decred-launches-politeia-self-governance-system-with-release-of-20-million-treasury",,,,,,,
,"https://cryptovest.com/news/decred-dcr-launches-politeia-voting-system/",,,,,,,
,"https://bitcoinexchangeguide.com/decred-dcr-20-million-crypto-treasury-turns-to-self-governance-with-launch-of-politeia/",,,,,,,
,"https://toshitimes.com/decreds-governance-system-goes-live-21-million-crypto-treasury-is-in-the-hands-of-stakeholders/",,,,,,,
,"https://bcfocus.com/news/decred-hands-over-control-of-treasury-worth-over-20-million-to-investors/25324/",,,,,,,
,"https://cryptoblockwire.com/decred-unveils-politeia/",,,,,,,
,"https://www.blockchainreporter.net/2018/10/18/decred-dcr-blockchain-project-launches-its-self-governance-system-called-politeia/",,,,,,,
,"https://btcmanager.com/decred-launches-decentralized-governance-protocol-politeia/",,,,,,,
,"https://tokentops.com/news/decred-enables-stakeholders-to-decide-over-its-20-million-treasury-decred-news-october/",,,,,,,
,"https://thirtyk.com/2018/10/22/decentalized-weird-blockchain/",,,,,,,
,"https://captainaltcoin.com/decred-dcr-summary-training-wheels-have-been-taken-off-as-politeia-goes-live/",,,,,,,
,"https://www.investinblockchain.com/decred-politeia/",,,,,,,
"09/06/18","https://www.dashforcenews.com/decred-cryptocurrency-gives-analysis-of-dash/","Decred Cryptocurrency Gives Analysis of Dash","Justin Szilard",,,,,
"9/20/2018","https://www.coindesk.com/one-of-investors-favorite-governance-blockchains-is-handing-over-20-million/","One of Investors' Favorite Governance Blockchains Is Handing Over $20 Million","Brady Dale",,,,,
